metric,value
requested,5
successful,5
errors,0
coverage,1
mode,full
start_index,1
stop_index,5
qwk,1
accuracy,1
mean_absolute_error,0
within_one_grade_accuracy,1
macro_f1,1
referable_sensitivity,1
referable_specificity,1
referable_precision,1
referable_accuracy,1
referable_f1,1
referable_auc,1
referable_head_sensitivity,1
referable_head_specificity,1
referable_head_auc,1
head_disagreement_count,0
head_disagreement_rate,0
concordant_coverage,1
concordant_sensitivity,1
concordant_specificity,1
total_seconds,77.5137
average_seconds,15.4028
